"","date","code","status","sex","back","center","front","side","front.bin","meanRank","meanPositionRanked","status2","dob","ageDays","X","Weight_diff..g.","Zweight","Zweight2"
"608","2022-06-14","VNQM029","Yearling","M",0.399940793368857,0.271363726070653,0.0515097690941385,0.277185711466351,0.25389776988356,-0.374815649001492,-1,"Juvenile","2021-03-07",464,17,20,0.973328526784575,-0.153499913695481
"609","2022-06-14","VNQM029","Yearling","M",0.399940793368857,0.271363726070653,0.0515097690941385,0.277185711466351,0.25389776988356,-0.374815649001492,-1,"Juvenile","2021-03-07",464,17,20,0.973328526784575,-0.153499913695481
"612","2022-06-15","VNQF013","DominantF","F",0.0929234454536381,0.678710450144725,0.02365505539475,0.204711049006887,0.478989919153608,0.0680468068746542,0.333333333333333,"DominantF","2019-11-12",946,22,32,0.370529326566317,1.45948728177551
"613","2022-06-15","VNQF013","DominantF","F",0.0929234454536381,0.678710450144725,0.02365505539475,0.204711049006887,0.478989919153608,0.0680468068746542,0.333333333333333,"DominantF","2019-11-11",947,22,32,0.370529326566317,1.45948728177551
"616","2022-06-15","VNQM029","Yearling","M",0.219952867242734,0.268362136684996,0.135703063629222,0.375981932443048,0.429988216810683,-0.0284289016770915,-1,"Juvenile","2021-03-07",465,25,11,0,-0.832044151292581
"617","2022-06-15","VNQM029","Yearling","M",0.219952867242734,0.268362136684996,0.135703063629222,0.375981932443048,0.429988216810683,-0.0284289016770915,-1,"Juvenile","2021-03-07",465,25,11,0,-0.832044151292581
"618","2022-06-15","VZUM034","DominantM","M",0.15793144679155,0.544539657233958,0.0612793941809486,0.236249501793543,0.462335591869271,0.0255898211422281,-0.333333333333333,"DominantM","2018-04-07",1530,23,29,1.13531655978258,1.13212564848007
"619","2022-06-15","VZUM034","DominantM","M",0.15793144679155,0.544539657233958,0.0612793941809486,0.236249501793543,0.462335591869271,0.0255898211422281,-0.333333333333333,"DominantM","2018-04-07",1530,23,29,1.13531655978258,1.13212564848007
"620","2022-06-29","VECM009","DominantM","M",0.0929478138222849,0.567559943582511,0.0909732016925247,0.24851904090268,0.531875881523272,0.186574104663191,1,"DominantM","2019-04-17",1169,31,13,-1.35583843887848,-0.454568645048495
"622","2022-06-29","VSIF005","Sub-Adult","F",0.133374233128834,0.405766871165644,0.0695705521472393,0.391288343558282,0.506134969325153,0.0646803130582843,0.2,"Subordinate","2021-07-02",362,33,22,0,0.757614408414158
"623","2022-06-29","VSIM001","Eldest Sub","M",0.25201394733678,0.204641096549237,0.119033305278346,0.424311650835638,0.411446435012625,-0.154412298232251,-1,"Subordinate","2021-05-27",398,32,20,-1.08254254223788,0.488240396533569
"624","2022-06-29","VSIM012","Sub-Adult","M",0.0934011411560407,0.574051103944431,0.0787645745472587,0.25378318035227,0.56561647233937,0.125721182242804,0.6,"Subordinate","2021-12-12",199,34,11,-1.49319149913217,-0.723942656929084
"625","2022-06-29","VZUF048","DominantF","F",0.0884699895917659,0.505493234647855,0.0574765814733434,0.348560194287036,0.46709841563548,0.0701266319757391,-0.6,"DominantF","2019-05-09",1147,30,31,1.27246283900423,1.96979746187681
"626","2022-06-30","VECM009","DominantM","M",0.0815994210240637,0.441107291478198,0.256196851818346,0.221096435679392,0.591279174959291,0.354211958303364,-0.6,"DominantM","2019-04-17",1170,39,20,-0.0376621788577353,0.170965788632826
"630","2022-06-30","VSIM012","Sub-Adult","M",0.106472233320016,0.629644426687974,0.11865761086696,0.14522572912505,0.663803435876948,0.359063955888971,-0.2,"Subordinate","2021-12-12",200,40,29,-0.107756087566239,1.48984472951463
"631","2022-06-30","VZUF048","DominantF","F",0.046225272507065,0.585991118288252,0.178845377472749,0.188938231731934,0.687727089220832,0.368561840449924,0.6,"DominantF","2019-05-09",1148,38,20,-1.41928547427395,0.170965788632826
"638","2022-07-02","VECM009","DominantM","M",0.21857210626186,0.454222011385199,0.086219165085389,0.240986717267552,0.360294117647059,-0.250753122930205,-1,"DominantM","2019-04-17",1172,45,20,-0.0376621788577353,-0.136470248464168
"639","2022-07-02","VSIF003","Sub-Adult","F",0.203984819734345,0.255574003795066,0.100687855787476,0.439753320683112,0.398244781783681,-0.117516481286014,-0.6,"Subordinate","2021-05-29",399,46,14,-0.707106781186547,-0.703346665161483
"640","2022-07-02","VSIF005","Sub-Adult","F",0.106847343806212,0.39980813047128,0.128432665787265,0.364911859935244,0.541671663268977,0.0892044845817733,0.6,"Subordinate","2021-07-02",365,47,21,-1,-0.0419908456812824
"642","2022-07-02","VSIM012","Sub-Adult","M",0.119238950602694,0.527062160245805,0.054242495863862,0.299456393287639,0.443866698180099,-0.0587475951906274,-0.2,"Subordinate","2021-12-12",202,49,47,1.27767932399969,2.41447362667375
"643","2022-07-02","VZUF048","DominantF","F",0.0704877180491278,0.305446778212887,0.264032277204225,0.360033226533761,0.661920018986591,0.324466418034483,1,"DominantF","2019-05-09",1150,44,28,0.538349662655636,0.619364973798918
"644","2022-07-03","VECM009","DominantM","M",0.0902168897092755,0.498615597600369,0.14443931702815,0.266728195662206,0.482233502538071,0.0264374799449948,0.5,"DominantM","2019-04-17",1173,54,20,-0.0376621788577353,-0.374382636443535
"645","2022-07-03","VSIF003","Sub-Adult","F",0.273969534050179,0.221326164874552,0.028673835125448,0.476030465949821,0.448700716845878,-0.12896096592161,-0.5,"Subordinate","2021-05-29",400,56,24,0.707106781186547,0.180258306435776
"646","2022-07-03","VSIF005","Sub-Adult","F",0.0460556315549476,0.499088007295942,0.255357957136343,0.199498404012768,0.671454628362973,0.341384385279021,1,"Subordinate","2021-07-02",366,57,23,1,0.0415980707159485
"647","2022-07-03","VSIM012","Sub-Adult","M",0.155575952271684,0.462138595686095,0.188389169343736,0.193896282698486,0.505277650298302,0.0440174565024595,0,"Subordinate","2021-12-12",203,59,30,-0.0307874535903539,1.01221972075474
"648","2022-07-03","VZUF048","DominantF","F",0.30104119511091,0.279764599366229,0.0387052965142598,0.380488909008601,0.267768220914441,-0.380404534483197,-1,"DominantF","2019-05-09",1151,53,25,-0.195763513692959,0.318918542155604
"651","2022-07-12","VMPF022","DominantF","F",0.0381751566008746,0.544852854272545,0.0616948351258716,0.355277154000709,0.611157073631958,0.261272322441835,0.5,"DominantF","2018-12-21",1299,63,18,0.251418227577135,-0.336340423218994
"652","2022-07-12","VMPF022","DominantF","F",0.0381751566008746,0.544852854272545,0.0616948351258716,0.355277154000709,0.611157073631958,0.261272322441835,0.5,"DominantF","2018-12-21",1299,63,18,0.251418227577135,-0.336340423218994
"655","2022-07-12","VRWF008","Yearling","F",0.196973279735162,0.313785764956254,0.0989595649089619,0.390281390399622,0.455426814849846,0.0130801960829294,-0.75,"Juvenile","2021-07-30",347,66,23,1.0805808560783,-0.0373711581354438
"656","2022-07-12","VRWF016","Juvenile","F",0.102378121284185,0.572770511296076,0.0782401902497027,0.246611177170036,0.625921521997622,0.230225849904624,0,"Juvenile","2022-03-04",130,70,4,-1.41617638574987,-1.17345436545293
"657","2022-07-12","VRWM005","Yearling","M",0.136857176947858,0.414509008471543,0.18434554349123,0.264288271089369,0.52845722467486,0.236502401611128,0.25,"Juvenile","2021-02-06",521,65,57,1.67809440899111,1.9956198444327
"658","2022-07-12","VRWM005","Yearling","M",0.136857176947858,0.414509008471543,0.18434554349123,0.264288271089369,0.52845722467486,0.236502401611128,0.25,"Juvenile","2021-02-05",522,65,57,1.67809440899111,1.9956198444327
"659","2022-07-12","VRWM009","Sub-Adult","M",0.0934170021311864,0.458441865972058,0.0816954771489462,0.36644565474781,0.564409187781198,0.26010846772063,0.75,"Subordinate","2021-12-15",209,67,20,0.211835018653808,-0.216752717185574
"660","2022-07-12","VRWM012","Juvenile","M",0.110420475319927,0.488848263254113,0.0881170018281536,0.312614259597806,0.572212065813528,0.206957385096317,-0.5,"Juvenile","2022-03-04",130,69,38,1.91478563408188,0.859536637115207
"662","2022-07-13","VJXM122","DominantM","M",0.119397103733622,0.629199093685351,0.0938823761205793,0.157521426460447,0.624174958132204,0.225053414612813,1,"DominantM","2018-12-01",1320,72,20,1.11674266924354,0.804131929086288
"663","2022-07-13","VJXM122","DominantM","M",0.119397103733622,0.629199093685351,0.0938823761205793,0.157521426460447,0.624174958132204,0.225053414612813,1,"DominantM","2018-12-01",1320,72,20,1.11674266924354,0.804131929086288
"664","2022-07-13","VMPF022","DominantF","F",0.216096698113208,0.586379716981132,0.0685927672955975,0.128930817610063,0.563089622641509,0.0959020108013073,0.111111111111111,"DominantF","2018-12-21",1300,71,16,0.0754254682731404,0.371137813424441
"665","2022-07-13","VMPF022","DominantF","F",0.216096698113208,0.586379716981132,0.0685927672955975,0.128930817610063,0.563089622641509,0.0959020108013073,0.111111111111111,"DominantF","2018-12-21",1300,71,16,0.0754254682731404,0.371137813424441
"666","2022-07-13","VRWF002","Eldest Sub","F",0.13901705115346,0.516950852557673,0.202808425275827,0.141223671013039,0.518655967903711,0.0997375889782981,0.777777777777778,"Subordinate","2021-02-06",522,74,0,-0.707106781186547,-1.36083864922295
"667","2022-07-13","VRWF002","Eldest Sub","F",0.13901705115346,0.516950852557673,0.202808425275827,0.141223671013039,0.518655967903711,0.0997375889782981,0.777777777777778,"Subordinate","2021-02-05",523,74,0,-0.707106781186547,-1.36083864922295
"668","2022-07-13","VRWF008","Yearling","F",0.199800895968143,0.477053260328522,0.0906918865107018,0.232453957192633,0.510602289696366,0.0350088576187002,-0.111111111111111,"Juvenile","2021-07-30",348,78,13,0.132702912149967,0.0463922266780551
"669","2022-07-13","VRWF016","Juvenile","F",0.154547255795522,0.603427778878542,0.0783633841886269,0.163661581137309,0.533881513770557,0.0748486471454517,-0.555555555555556,"Juvenile","2022-03-04",131,84,9,0.447213595499958,-0.386601888983792
"670","2022-07-13","VRWM001","Eldest Sub","M",0.165395423524689,0.469490164592533,0.224106784423926,0.141007627458852,0.636491368928141,0.176987464255129,0.555555555555556,"Subordinate","2021-02-06",522,73,8,-0.816496580927726,-0.494850417899254
"671","2022-07-13","VRWM001","Eldest Sub","M",0.165395423524689,0.469490164592533,0.224106784423926,0.141007627458852,0.636491368928141,0.176987464255129,0.555555555555556,"Subordinate","2021-02-05",523,73,8,-0.816496580927726,-0.494850417899254
"672","2022-07-13","VRWM005","Yearling","M",0.277253563541458,0.185203774342502,0.234089540252961,0.30345312186308,0.477012648062638,0.0342496601094839,-0.333333333333333,"Juvenile","2021-02-06",522,76,14,-0.298838730368279,0.154640755593517
"673","2022-07-13","VRWM005","Yearling","M",0.277253563541458,0.185203774342502,0.234089540252961,0.30345312186308,0.477012648062638,0.0342496601094839,-0.333333333333333,"Juvenile","2021-02-05",523,76,14,-0.298838730368279,0.154640755593517
"674","2022-07-13","VRWM009","Sub-Adult","M",0.29505107606863,0.376673609044927,0.107606863036795,0.220668451849648,0.38837647525538,-0.11360084091961,-1,"Subordinate","2021-12-15",210,79,29,0.672028335039667,1.77836868932544
"675","2022-07-13","VRWM012","Juvenile","M",0.143086333099368,0.519703198636318,0.0963601724656573,0.240850295798656,0.501955279253986,0.12081076414692,0.333333333333333,"Juvenile","2022-03-04",131,81,20,0.215750493981056,0.804131929086288
